tempo,referencia,velocidade,pwm,erro
4.98002,1,16.6999,-255,-15.6999
4.99002,1,17.167,-255,-16.167
5.00002,1,17.5903,-255,-16.5903
5.01002,1,17.9694,-255,-16.9694
5.02002,1,18.3123,-255,-17.3123
5.03002,1,18.5889,-255,-17.5889
5.04002,1,18.8384,-255,-17.8384
5.05002,1,19.039,-255,-18.039
5.06002,1,19.2215,-255,-18.2215
5.07002,1,19.3231,-255,-18.3231
5.08002,1,19.3948,-255,-18.3948
5.09002,1,19.425,-255,-18.425
5.10002,1,19.4038,-255,-18.4038
5.11002,1,19.354,-255,-18.354
5.12002,1,19.2546,-255,-18.2546
5.13002,1,19.1053,-255,-18.1053
5.14002,1,18.8932,-255,-17.8932
5.15002,1,18.6404,-255,-17.6404
5.16002,1,18.3293,-255,-17.3293
5.17002,1,17.9693,-255,-16.9693
5.18002,1,17.5577,-255,-16.5577
5.19002,1,17.1093,-255,-16.1093
5.20002,1,16.616,-255,-15.616
5.21002,1,16.0664,-255,-15.0664
5.22002,1,15.4559,-255,-14.4559
5.23002,1,14.8028,-255,-13.8028
5.24003,1,14.0953,-255,-13.0953
5.25003,1,13.352,-247.041,-12.352
5.26003,1,12.57,-231.4,-11.57
5.27003,1,11.7341,-214.681,-10.7341
5.28003,1,10.835,-196.701,-9.83503
5.29003,1,9.89062,-177.812,-8.89062
5.30003,1,8.90436,-158.087,-7.90436
5.31003,1,7.90071,-138.014,-6.90071
5.32003,1,6.86024,-117.205,-5.86024
5.33003,1,5.78932,-95.7865,-4.78932
5.34003,1,4.65454,-73.0907,-3.65454
5.35003,1,3.49664,-49.9328,-2.49664
5.36003,1,2.28596,-25.7193,-1.28596
5.37003,1,1.06037,-1.20733,-0.0603666
5.38003,1,-0.214237,24.2847,1.21424
5.39003,1,-1.49407,49.8814,2.49407
5.40003,1,-2.78841,75.7681,3.78841
5.41003,1,-4.12298,102.46,5.12298
5.42003,1,-5.46448,129.29,6.46448
5.43003,1,-6.80332,156.066,7.80332
5.44003,1,-8.15437,183.087,9.15437
5.45003,1,-9.5051,210.102,10.5051
5.46003,1,-10.8639,237.279,11.8639
5.47003,1,-12.1902,255,13.1902
5.48003,1,-13.5305,255,14.5305
5.49003,1,-14.8413,255,15.8413
5.50003,1,-16.1389,255,17.1389
5.51003,1,-17.412,255,18.412
5.52003,1,-18.6669,255,19.6669
5.53003,1,-19.8811,255,20.8811
5.54003,1,-21.0592,255,22.0592
5.55003,1,-22.2042,255,23.2042
5.56003,1,-23.3201,255,24.3201
5.57003,1,-24.4065,255,25.4065
5.58003,1,-25.4343,255,26.4343
5.59003,1,-26.4427,255,27.4427
5.60003,1,-27.4107,255,28.4107
5.61003,1,-28.3347,255,29.3347
5.62003,1,-29.2214,255,30.2214
5.63003,1,-30.0459,255,31.0459
5.64003,1,-30.8463,255,31.8463
5.65003,1,-31.5983,255,32.5983
5.66003,1,-32.304,255,33.304
5.67003,1,-32.9614,255,33.9614
5.68004,1,-33.5543,255,34.5543
5.69004,1,-34.1168,255,35.1168
5.70004,1,-34.6263,255,35.6263
5.71004,1,-35.0794,255,36.0794
5.72004,1,-35.4915,255,36.4915
5.73004,1,-35.8622,255,36.8622
5.74004,1,-36.1654,255,37.1654
5.75004,1,-36.4344,255,37.4344
5.76004,1,-36.6498,255,37.6498
5.77004,1,-36.8173,255,37.8173
5.78004,1,-36.9389,255,37.9389
